name,registry_key
A Athanaze,58c2fac4
A Bramble,eca0c288
A Dananjaya,5b16a806
A Martin,3cacbb57
A Nortje,acdc62f5
A Phillip,f2665768
A Sanawar,e24f3d1f
A Zampa,14f96089
AA Jangoo,88626ed2
AB Barath,d3a3e82d
AB Fudadin,875909c0
AB de Villiers,c4487b84
AC Voges,864c199e
AD Hales,92aeac25
AD Russell,bbd41817
ADS Fletcher,1bae756b
AGS Gous,d1305df0
AI Ross,fb0d68b4
AJ Hose,104e88a4
AJ Hosein,4d7f517e
AM McCarthy,7f148ce7
AMA Dewar,3fbafad4
AP Devcich,ed90abe4
AP Richardson,0677d2ad
AR Nedd,92b7602a
AR Nurse,4a745f65
AS Joseph,b0946605
AT Rayudu,70d205c9
AWJ Auguste,4b167ede
Aaron Jones,17aa4f1d
Ahmed Shehzad,f8fd6e3f
Akeem Jordan,77bf0483
Ali Khan,b0eaaac6
Asif Ali,0a4736eb
Azam Khan,ee8f1a6d
Azhar Mahmood,9a158001
B Laughlin,b2a79f17
B Muzarabani,449f4e3c
BA King,7fca84b7
BAC Howell,0bec3a6c
BB McCullum,b8a55852
BCJ Cutting,2e11c706
BCN Joseph,3ded0fd5
BF Bowden,efc0a862
BJ Hodge,b57f8a9a
BJ Rohrer,27af6414
BMAJ Mendis,9868bc75
BR Dunk,272d796e
BW Hilfenhaus,f3171936
Babar Azam,8a75e999
C Alfred,03850014
C Archibald,c3a8bc99
C Bosch,172dff15
C Hemraj,9d450c28
C Lamont,a990c9c4
C Munro,af2c687b
C de Grandhomme,94d7f855
CA Ingram,c995d726
CA Lynn,45eda7c8
CAK Walton,bbff906c
CB Sole,469ccead
CD Barnwell,0d51e658
CF Wright,b795e2a9
CH Gayle,db584dad
CJ Anderson,8abdf100
CJ Green,19b9f399
CJ Jordan,ffe699c0
CK Holder,f7c3d426
CM Tuckett,a67252f0
CO Wright,a541fc41
CR Brathwaite,e342e5fb
CS Baugh,151e8077
CS Delport,afa78c3a
Christopher Taylor,1f50a44a
D Bishoo,7a80ddf2
D Brevis,844e79d1
D Ferreira,f0af99a7
D Govindjee,8b4c4069
D Jansen,8dc152d1
D Mohammed,77079be1
D Pretorius,11614d87
D Ramdin,d1523761
D Wiese,aa8d28ae
DA Miller,d67d5f00
DA Warner,dcce6f09
DC Drakes,34b332d3
DC Green,cfd84210
DC Thomas,08a4f9ad
DE Bernard,e0557f7f
DE Johnson,c0babb93
DJ Bravo,87e562a9
DJ Hussey,fd835ab3
DJ Jacobs,a84468fe
DJG Sammy,c03c6200
DK Butler,671398e3
DK Jacobs,23a508f8
