key,date
t20s0001,2019-05-05
t20s0002,2005-02-17
t20s0003,2005-06-13
t20s0004,2005-10-21
t20s0005,2006-01-09
t20s0006,2006-02-16
t20s0007,2006-02-24
t20s0008,2006-06-15
t20s0009,2006-08-28
t20s0010,2006-12-01
t20s0011,2006-12-22
t20s0012,2006-12-26
t20s0013,2007-01-09
t20s0014,2007-06-28
t20s0015,2007-06-29
t20s0016,2007-09-01
t20s0017,2007-09-02
t20s0018,2007-09-04
t20s0019,2007-09-11
t20s0020,2007-09-12
t20s0021,2007-09-12
t20s0022,2007-09-12
t20s0023,2007-09-13
t20s0024,2007-09-13
t20s0025,2007-09-14
t20s0026,2007-09-14
t20s0027,2007-09-14
t20s0028,2007-09-15
t20s0029,2007-09-15
t20s0030,2007-09-16
t20s0031,2007-09-16
t20s0032,2007-09-16
t20s0033,2007-09-17
t20s0034,2007-09-18
t20s0035,2007-09-18
t20s0036,2007-09-18
t20s0037,2007-09-19
t20s0038,2007-09-19
t20s0039,2007-09-20
t20s0040,2007-09-20
t20s0041,2007-09-20
t20s0042,2007-09-22
t20s0043,2007-09-22
t20s0044,2007-09-24
t20s0045,2007-10-20
t20s0046,2007-11-23
t20s0047,2007-12-11
t20s0048,2007-12-16
t20s0049,2008-01-18
t20s0050,2008-02-01
t20s0051,2008-02-05
t20s0052,2008-02-07
t20s0053,2008-04-20
t20s0054,2008-06-13
t20s0055,2008-06-20
t20s0056,2008-08-03
t20s0057,2008-08-04
t20s0058,2008-08-04
t20s0059,2008-10-11
t20s0060,2008-10-13
t20s0061,2008-11-05
t20s0062,2008-12-26
t20s0063,2008-12-28
t20s0064,2009-01-11
t20s0065,2009-01-13
t20s0066,2009-02-10
t20s0067,2009-02-15
t20s0068,2009-02-25
t20s0069,2009-02-27
t20s0070,2009-03-15
t20s0071,2009-03-27
t20s0072,2009-03-29
t20s0073,2009-05-07
t20s0074,2009-06-05
t20s0075,2009-06-06
t20s0076,2009-06-06
t20s0077,2009-06-06
t20s0078,2009-06-07
t20s0079,2009-06-07
t20s0080,2009-06-08
t20s0081,2009-06-08
t20s0082,2009-06-09
t20s0083,2009-06-09
t20s0084,2009-06-10
t20s0085,2009-06-10
t20s0086,2009-06-11
t20s0087,2009-06-11
t20s0088,2009-06-12
t20s0089,2009-06-12
t20s0090,2009-06-13
t20s0091,2009-06-13
t20s0092,2009-06-14
t20s0093,2009-06-14
t20s0094,2009-06-15
t20s0095,2009-06-15
t20s0096,2009-06-16
t20s0097,2009-06-16
t20s0098,2009-06-18
t20s0099,2009-06-18
t20s0100,2009-06-19
t20s0101,2009-06-19
t20s0102,2009-06-21
t20s0103,2009-06-25
t20s0104,2009-08-02
t20s0105,2009-08-12
t20s0106,2009-08-30
t20s0107,2009-09-02
t20s0108,2009-09-04
t20s0109,2009-10-28
t20s0110,2009-11-12
t20s0111,2009-11-13
t20s0112,2009-11-13
t20s0113,2009-11-15
t20s0114,2009-12-09
t20s0115,2009-12-12
t20s0116,2010-02-03
t20s0117,2010-02-05
t20s0118,2010-02-09
t20s0119,2010-02-09
t20s0120,2010-02-10
t20s0121,2010-02-11
t20s0122,2010-02-12
t20s0123,2010-02-13
t20s0124,2010-02-13
t20s0125,2010-02-19
t20s0126,2010-02-20
t20s0127,2010-02-21
t20s0128,2010-02-23
t20s0129,2010-02-26
t20s0130,2010-02-28
t20s0131,2010-02-28
t20s0132,2010-04-30
t20s0133,2010-04-30
t20s0134,2010-05-01
t20s0135,2010-05-01
t20s0136,2010-05-02
t20s0137,2010-05-02
t20s0138,2010-05-03
t20s0139,2010-05-03
t20s0140,2010-05-04
t20s0141,2010-05-04
t20s0142,2010-05-05
t20s0143,2010-05-05
t20s0144,2010-05-06
t20s0145,2010-05-06
t20s0146,2010-05-07
t20s0147,2010-05-07
t20s0148,2010-05-08
t20s0149,2010-05-08
t20s0150,2010-05-09
t20s0151,2010-05-09
t20s0152,2010-05-10
t20s0153,2010-05-10
t20s0154,2010-05-11
t20s0155,2010-05-11
t20s0156,2010-05-13
t20s0157,2010-05-13
t20s0158,2010-05-14
t20s0159,2010-05-14
t20s0160,2010-05-16
t20s0161,2010-05-16
t20s0162,2010-05-19
t20s0163,2010-05-20
t20s0164,2010-05-22
t20s0165,2010-05-23
t20s0166,2010-06-12
t20s0167,2010-06-13
t20s0168,2010-07-05
t20s0169,2010-07-06
t20s0170,2010-09-05
t20s0171,2010-09-07
t20s0172,2010-10-08
t20s0173,2010-10-10
t20s0174,2010-10-26
t20s0175,2010-10-27
t20s0176,2010-10-31
t20s0177,2010-12-26
t20s0178,2010-12-28
t20s0179,2010-12-30
t20s0180,2010-12-30
t20s0181,2011-01-09
t20s0182,2011-01-12
t20s0183,2011-01-14
t20s0184,2011-04-21
t20s0185,2011-06-04
t20s0186,2011-06-25
t20s0187,2011-06-26
t20s0188,2011-08-06
t20s0189,2011-08-08
t20s0190,2011-08-31
t20s0191,2011-09-16
t20s0192,2011-09-18
t20s0193,2011-09-23
t20s0194,2011-09-25
t20s0195,2011-10-11
t20s0196,2011-10-13
t20s0197,2011-10-15
t20s0198,2011-10-16
t20s0199,2011-10-17
t20s0200,2011-10-29
t20s0201,2011-10-29
t20s0202,2011-11-25
t20s0203,2011-11-29
t20s0204,2012-02-01
t20s0205,2012-02-03
t20s0206,2012-02-11
t20s0207,2012-02-14
t20s0208,2012-02-17
t20s0209,2012-02-17
t20s0210,2012-02-19
t20s0211,2012-02-19
t20s0212,2012-02-22
t20s0213,2012-02-22
t20s0214,2012-02-22
t20s0215,2012-02-23
t20s0216,2012-02-23
t20s0217,2012-02-24
t20s0218,2012-02-25
t20s0219,2012-02-27
t20s0220,2012-03-13
t20s0221,2012-03-14
t20s0222,2012-03-14
t20s0223,2012-03-18
t20s0224,2012-03-18
t20s0225,2012-03-22
t20s0226,2012-03-23
t20s0227,2012-03-23
t20s0228,2012-03-24
t20s0229,2012-03-27
t20s0230,2012-03-30
t20s0231,2012-03-30
t20s0232,2012-06-01
t20s0233,2012-06-03
t20s0234,2012-06-24
t20s0235,2012-06-26
t20s0236,2012-06-28
t20s0237,2012-06-30
t20s0238,2012-07-01
t20s0239,2012-07-18
t20s0240,2012-07-25
t20s0241,2012-07-26
t20s0242,2012-08-07
t20s0243,2012-09-04
t20s0244,2012-09-05
t20s0245,2012-09-05
t20s0246,2012-09-07
t20s0247,2012-09-08
t20s0248,2012-09-08
t20s0249,2012-09-10
