name,registry_key
A Barnes,f9607922
A Lyth,70b8fd28
A Sharafu,06cad4f0
A Valthapa,ba7b21fd
A Zampa,14f96089
AAP Atkinson,70d57519
AD Hales,92aeac25
AD Russell,bbd41817
ADS Fletcher,1bae756b
AF Milne,350bb1b1
AG Wharf,2e0fcc58
AGS Gous,d1305df0
AJ Hose,104e88a4
AJ Hosein,4d7f517e
AM Ghazanfar,9ca68676
AM Rossington,7bcde3fe
AS Joseph,b0946605
AT Holdstock,6fa3258c
AT Rayudu,70d205c9
AU Rashid,249d60c9
Aasif Iqbal,42c41e1a
Aayan Afzal Khan,d2d15439
Adhitya Shetty,94759472
Ahmed Shah Pakteen,43602937
Akbar Ali,e753931d
Akif Raja,9d0344f3
Aleem Dar,f02778d1
Ali Khan,b0eaaac6
Ali Naseer,f5715b48
Aryan Lakra,099135ad
Asif Khan,074acfb4
Azam Khan,ee8f1a6d
B Muzarabani,449f4e3c
BA King,7fca84b7
BAC Howell,0bec3a6c
BFW de Leede,fc4375ef
BJ McMullen,436c763a
BR Dunk,272d796e
BTJ Wheal,3f61a062
Basil Hameed,adbf0400
Bismillah Shinwari,cae815a0
C Esterhuizen,ef9acbcc
C Karunaratne,fb3e0d39
C Munro,af2c687b
C Overton,e9987a94
C de Grandhomme,94d7f855
CA Ingram,c995d726
CA Lynn,45eda7c8
CB Sole,469ccead
CBRLS Kumara,4751caa3
CG Benjamin,95a15317
CJ Anderson,8abdf100
CJ Jordan,ffe699c0
CR Brathwaite,e342e5fb
CR Woakes,4c5d73db
Chirag Suri,6176f240
D Madushanka,de7d833e
D Parashar,395179e8
D Wiese,aa8d28ae
DA Payne,6c79c098
DA Warner,dcce6f09
DC Drakes,34b332d3
DJ Bravo,87e562a9
DJ Malan,ad9c32a2
DJ Willey,7f048519
DJ Worrall,208f22ea
DM de Silva,7d608e12
DR Mousley,876dbe2d
DR Sams,caf69bf7
DW Lawrence,4b685e2d
E Lewis,0ebfb1ad
Ethan D'Souza,31ca7a9c
FA Allen,b52ffbbd
FJ Klaassen,c042b412
Fahad Nawaz,5d68fe4f
Fakhar Zaman,1777c020
Farhan Khan,617040e4
Fazalhaq Farooqi,e9c7f0d0
Gulbadin Naib,9f77963a
HG Munsey,ff014c34
Haider Ali,dd572696
Harmeet Singh,0bf15e52
Hazrat Luqman,fdc1ac0f
Hazratullah,5ea51c25
I Udana,ac5ae4af
Ibrahim Zadran,d4550956
Ibrar Ahmad,aa47439d
Imad Wasim,9cb8d7a6
Imran Tahir,acee4cc4
J Charles,09a9d073
J Fraser-McGurk,9b6e1b3f
J Little,9061a703
J Overton,59559bc2
JA Thompson,1d2f290a
JB Lintott,e5218454
JE Root,a343262c
JJ Roy,d1c36f5c
JK Fuller,dda5aae5
JL Denly,bdadf7da
JL Smith,c834c290
JL du Plooy,6e6fb538
JM Clarke,2eca67f5
JM Cox,ff154ecd
JM Vince,a15618fe
JO Holder,0f721006
JT Ball,3d0ed2f9
Junaid Siddique,84dc72db
K Lewis,b0081e62
KA Pollard,a757b0d8
KIC Asalanka,732c038e
KMA Paul,75224f22
KP Meiyappan,b91f2a31
KR Mayers,73c18486
KW Richardson,dfc4d8b5
Karim Janat,62175638
L Gregory,06c2de82
L Tucker,3979b5e0
L Wood,65b6943c
LA Dawson,4a461c24
LD Chandimal,8dd02a98
LH Ferguson,2f9d0389
LJ Evans,1c513d54
LS Livingstone,50c6bc2b
LS Reifer,5dee559a
LWP Wells,1957c6b7
M Deyal,7183799b
M Pathirana,64839cb3
M Theekshana,f24c6701
M de Lange,d4eef961
MA Jones,05f96194
MD Shanaka,3ff033bb
MDE Holden,d34a2268
MDKJ Perera,f21043a5
MG Erasmus,95a5e066
MJ Guptill,2be41edb
MJ Saggers,402d5937
MM Ali,bb351c23
MP Stoinis,d9273ee7
MR Adair,fc55ec67
MRJ Watt,1252f71a
MS Pepper,270e4c23
Matiullah Khan,083e01d9
Mohammad Amir,e174dadd
Mohammad Nabi,62af8546
Muhammad Jawadullah,098a757c
Muhammad Rohid,9103ecdb
Mujeeb Ur Rahman,7d92277a
N Dickwella,45963d9e
N Pooran,3241e3fd
NA Sowter,ee0c05c0
Najibullah Zadran,1212cbec
Naveen-ul-Haq,c0c411cb
Nilansh Keswani,424a7994
Noor Ahmad,efc04be7
OC McCoy,529eb9e0
OF Smith,23cca426
OG Robinson,60f4c586
OJ Pope,e94bc520
OP Stone,3f659464
P Wilson,68304a36
PA van Meekeren,4557dc54
PBB Rajapaksa,6c882e9a
PD Salt,3d284ca3
PI Walter,57590dbb
PR Stirling,cf494ffe
PVD Chameera,327b58d3
PWH de Silva,a97c8ec2
