decision,winner,key
field,Abu Dhabi Knight Riders,ilt00001
field,Sharjah Warriors,ilt00002
field,Desert Vipers,ilt00003
bat,Abu Dhabi Knight Riders,ilt00004
field,Gulf Giants,ilt00005
field,MI Emirates,ilt00006
field,Desert Vipers,ilt00007
field,Dubai Capitals,ilt00008
field,Abu Dhabi Knight Riders,ilt00009
field,Sharjah Warriors,ilt00010
field,MI Emirates,ilt00011
field,MI Emirates,ilt00012
field,Gulf Giants,ilt00013
field,Gulf Giants,ilt00014
field,Desert Vipers,ilt00015
field,Sharjah Warriors,ilt00016
field,Sharjah Warriors,ilt00017
field,Dubai Capitals,ilt00018
field,Desert Vipers,ilt00019
field,Dubai Capitals,ilt00020
bat,Desert Vipers,ilt00021
field,Gulf Giants,ilt00022
field,Dubai Capitals,ilt00023
field,Abu Dhabi Knight Riders,ilt00024
field,Desert Vipers,ilt00025
field,Abu Dhabi Knight Riders,ilt00026
field,Dubai Capitals,ilt00027
field,Gulf Giants,ilt00028
field,Gulf Giants,ilt00029
field,MI Emirates,ilt00030
field,Gulf Giants,ilt00031
field,Gulf Giants,ilt00032
field,Sharjah Warriors,ilt00033
field,Dubai Capitals,ilt00034
field,Abu Dhabi Knight Riders,ilt00035
field,Gulf Giants,ilt00036
field,Sharjah Warriors,ilt00037
field,MI Emirates,ilt00038
field,Desert Vipers,ilt00039
field,Dubai Capitals,ilt00040
field,Sharjah Warriors,ilt00041
field,Abu Dhabi Knight Riders,ilt00042
bat,Dubai Capitals,ilt00043
field,MI Emirates,ilt00044
field,Desert Vipers,ilt00045
bat,Dubai Capitals,ilt00046
field,Desert Vipers,ilt00047
field,Abu Dhabi Knight Riders,ilt00048
field,Dubai Capitals,ilt00049
field,MI Emirates,ilt00050
field,Dubai Capitals,ilt00051
field,Desert Vipers,ilt00052
field,Desert Vipers,ilt00053
field,Sharjah Warriors,ilt00054
field,Abu Dhabi Knight Riders,ilt00055
field,Dubai Capitals,ilt00056
field,Sharjah Warriors,ilt00057
field,MI Emirates,ilt00058
field,Dubai Capitals,ilt00059
bat,Gulf Giants,ilt00060
field,MI Emirates,ilt00061
field,Desert Vipers,ilt00062
field,Abu Dhabi Knight Riders,ilt00063
field,Gulf Giants,ilt00064
bat,Gulf Giants,ilt00065
field,Dubai Capitals,ilt00066
field,MI Emirates,ilt00067
field,Desert Vipers,ilt00068
field,Sharjah Warriorz,ilt00069
field,Dubai Capitals,ilt00070
field,Desert Vipers,ilt00071
field,Sharjah Warriorz,ilt00072
bat,MI Emirates,ilt00073
field,Sharjah Warriorz,ilt00074
bat,Desert Vipers,ilt00075
field,Gulf Giants,ilt00076
field,MI Emirates,ilt00077
field,Gulf Giants,ilt00078
