name,registry_key
A Lyth,70b8fd28
AB de Villiers,c4487b84
AD Hales,92aeac25
AD Russell,bbd41817
ADS Fletcher,1bae756b
AG Wharf,2e0fcc58
AJ Hosein,4d7f517e
AJ Tye,7c7d63a2
AM Rossington,7bcde3fe
AP Devcich,ed90abe4
AW Summers,a35c119e
Aamer Azmat,935678ee
Aamer Jamal,a8e54ef4
Aamer Yamin,907d6e58
Abbas Afridi,2cec2a92
Abdul Bangalzai,0251a22f
Abdul Muqeet,e1ac7789
Abdul Muqeet,37cb317b
Abdul Nasir,494a0503
Abdullah Shafique,fc2fffb5
Abdur Rehman,d094e7d1
Abrar Ahmed,abb7c76c
Adil Amin,87addb93
Adnan Rasool,b8a75ca8
Aftab Ibrahim,8d42cee6
Agha Salman,89c16049
Ahmed Daniyal,9656afbf
Ahmed Safi Abdullah,fb23118c
Ahmed Shahab,86a1918c
Ahmed Shehzad,f8fd6e3f
Ahsan Ali,dc2abe5e
Ahsan Bhatti,5bbb4ec5
Ahsan Hafeez,86229495
Ahsan Raza,e0e5b209
Aimal Khan,774e65b3
Aizaz Cheema,5441db8c
Akbar-ur-Rehman,1a772306
Akif Javed,99d7d5b7
Aleem Dar,f02778d1
Ali Khan,b0eaaac6
Ali Majid,0e9b0f64
Ali Naqvi,3c89fc88
Ali Shafiq,7873a628
Amad Butt,c6a1b1bb
Anamul Haque,72b245dd
Anwar Ali,eb2d5fe7
Arafat Minhas,f2e8b37c
Arif Yaqoob,6bb9e53b
Arish Ali,1e9b3b23
Arshad Iqbal,ed031922
Asad Shafiq,50250426
Ashar Zaidi,9bab2b81
Ashir Qureshi,ed54033c
Asif Afridi,9489623e
Asif Ali,0a4736eb
Asif Yaqoob,6b35790c
Aslam Bareach,a7defe00
Athar Mahmood,55d3d4e8
Awais Zia,5c88fab9
Azam Khan,ee8f1a6d
Azhar Ali,211de69f
Azhar Mahmood,9a158001
Aziz-ur-Rehman,2aece389
Azmatullah Omarzai,8f6dd463
B Laughlin,b2a79f17
B Muzarabani,449f4e3c
BA King,7fca84b7
BAC Howell,0bec3a6c
BAW Mendis,ea0cdc12
BB McCullum,b8a55852
BCJ Cutting,2e11c706
BJ Haddin,b0c772ee
BJ Hodge,b57f8a9a
BM Duckett,5f26f677
BR Dunk,272d796e
BRM Taylor,53597be1
Babar Azam,8a75e999
Bilal Asif,f3be8d36
Bilawal Bhatti,7662cf7a
Bismillah Khan,d3cefce5
C Munro,af2c687b
CA Ingram,c995d726
CA Lynn,45eda7c8
CAK Walton,bbff906c
CB Gaffaney,d5ac41d8
CH Gayle,db584dad
CJ Anderson,8abdf100
CJ Green,19b9f399
CJ Jordan,ffe699c0
CR Brathwaite,e342e5fb
CS Delport,afa78c3a
D Foxcroft,ed6894af
D Pretorius,11614d87
D Ramdin,d1523761
D Wiese,aa8d28ae
DA Miller,d67d5f00
DAS Gunaratne,770494eb
DJ Bravo,87e562a9
DJ Malan,ad9c32a2
DJ Vilas,087210b1
DJ Willey,7f048519
DJG Sammy,c03c6200
DM Bravo,14b14cd8
DPMD Jayawardene,d18f9182
DR Mousley,876dbe2d
DR Sams,caf69bf7
DR Smith,35205dfc
DT Christian,2a2e6343
DW Steyn,8fd1a8f5
Danish Aziz,a4799701
Dilbar Hussain,a968d8eb
E Chigumbura,d2babdd5
EJG Morgan,d2a6c0e6
Ehsan Adil,210b05cb
F du Plessis,3355b542
FA Allen,b52ffbbd
Faheem Ashraf,bd4ea627
Faisal Afridi,ed0bc503
Faisal Akram,14661bf3
Faizan Khan,9e44e6fd
Fakhar Zaman,1777c020
Fawad Ahmed,22ae3041
Fazalhaq Farooqi,e9c7f0d0
GC Viljoen,a316d663
GD Elliott,c03449e0
GF Linde,e5437608
Gauhar Ali,86b6e495
Ghulam Mudassar,667f678b
Gulraiz Sadaf,ebd1ab1f
HC Brook,4ae1755b
HE van der Dussen,9948e262
HF Gurney,e412cb64
Haider Ali,c13e34f4
Hammad Azam,57bd3ecc
Haris Rauf,24bb1c2f
Haris Sohail,7cd0a092
Hasan Ali,2911de16
Haseebullah Khan,5691931a
Hassan Khan,486065b3
Hassan Nawaz,26a8b2fe
Hazratullah,5ea51c25
Hunain Shah,3b8679bf
Hussain Talat,bb4b445b
IA Cockbain,542fd5a6
IR Bell,33155d1b
Ibtisam Sheikh,a6fc52a9
Iftikhar Ahmed,973d561e
Iftikhar Ahmed,29e253dd
Iftikhar Ahmed (2),973d561e
Ihsanullah,c290033d
Imad Wasim,9cb8d7a6
Imam-ul-Haq,40c041ea
Imran Javed,9a1405c8
Imran Khalid,b8eddbdb
Imran Khan,2b0f2af3
Imran Khan (1),195fb6db
Imran Khan (2),2b0f2af3
Imran Tahir,acee4cc4
Imtiaz Iqbal,a247c3b6
Irfan Khan,ee95065d
Izharulhaq Naveed,2cbdd22f
J Allenby,7d5e0b78
J Charles,09a9d073
J Weatherald,edc7ddb6
JA Thompson,1d2f290a
JC Archer,5574750c
JD Wildermuth,f1c61793
JDS Neesham,9219eff0
JJ Roy,d1c36f5c
JK Fuller,dda5aae5
JL Denly,bdadf7da
JL du Plooy,6e6fb538
JM Bairstow,abb83e27
JM Clarke,2eca67f5
JM Cox,ff154ecd
JM Vince,a15618fe
JP Duminy,2e8994e7
JP Faulkner,808f425a
JS Wilson,d7f3b72f
JW Hastings,012829ff
JW Wells,8bdac857
Jahandad Khan,22d73540
Junaid Khan,086f5984
KA Pollard,a757b0d8
KC Sangakkara,6b71e6cf
KJ Abbott,a9da7784
KK Cooper,557153ca
KP Pietersen,39f01cdb
Kamran Akmal,ff077124
Kamran Ghulam,35f4cf7e
Kashif Bhatti,e93f608d
Khalid Latif,5eea345c
Khalid Mahmood,0b06b921
Khalid Usman,e9ea5eb5
Khawaja Nafay,3cf54e77
Khurram Manzoor,82c78845
Khurram Shahzad,1daf3f74
